Rang,Uporabniško ime,Ime,Priimek,Elo,ID,Država,Številka države,Naslov,Skupno igre,Skupno zmage,Skupno remiji,Skupno porazi,Strela elo,Metek elo,Opazovalci,Celina,Datum,Leto,Reciprikal prebivalstva države
1,ManuDavid2910,Manu,David,2966,6083387,India,69,FM,250,199,16,35,2988,3165,115258,Asia,2011-11-07,2011,7.054713536302145e-10
2,MagnusCarlsen,Magnus,Carlsen,2941,3889224,Norway,104,GM,313,168,109,36,3308,3184,5269729,Europe,2010-08-26,2010,1.785379845811026e-07
3,GutovAndrey,Andrey,Gutov,2936,26824392,United States,2,GM,143,141,1,1,2514,2312,542839,North America,2016-02-20,2016,2.9402166800915e-09
4,SeanWinshand,Sean,Winshand,2884,57549096,Indonesia,70,GM,1174,540,525,109,3002,3032,203357,Asia,2019-02-19,2019,3.515694987049973e-09
5,Bigfish1995,Vladimir,Fedoseev,2851,26303484,Slovenia,127,GM,709,391,174,144,3108,3000,261641,Europe,2016-01-23,2016,4.693429855282784e-07
6,Firouzja2003,Alireza,Firouzja,2844,42022994,France,52,GM,287,121,99,67,3260,3357,917887,Europe,2018-01-05,2018,1.4562824022834507e-08
7,LyonBeast,Maxime,Vachier-Lagrave,2844,17306408,France,52,GM,364,178,124,62,3243,3174,534973,Europe,2014-05-15,2014,1.4562824022834507e-08
8,Hikaru,Hikaru,Nakamura,2839,15448422,United States,2,GM,879,501,273,105,3409,3341,10147804,North America,2014-01-06,2014,2.9402166800915e-09
9,lachesisQ,Ian,Nepomniachtchi,2810,28417564,Russia,116,GM,343,150,119,74,3183,3091,456808,Asia,2016-05-30,2016,6.847986512205766e-09
10,LevonAronian,Levon,Aronian,2808,26897402,United States,2,GM,409,176,143,90,3104,3057,115371,North America,2016-02-23,2016,2.9402166800915e-09
11,GHANDEEVAM2003,Arjun,Erigaisi,2802,20718020,India,69,GM,345,173,90,82,3138,3207,166196,Asia,2015-01-20,2015,7.054713536302145e-10
12,GogiaMetutune,Davit,Benidze,2799,164493581,Georgia,53,GM,35,28,4,3,2981,3003,2382,Asia,2021-12-11,2021,2.699419624780672e-07
13,FabianoCaruana,Fabiano,Caruana,2797,11177810,United States,2,GM,589,295,187,107,3136,3203,505734,North America,2013-03-17,2013,2.9402166800915e-09
14,Polish_fighter3000,Jan-Krzysztof,Duda,2790,47485766,Poland,112,GM,208,97,67,44,3139,3156,235241,Europe,2018-06-29,2018,2.6729391639046296e-08
15,nihalsarin,Nihal,Sarin,2782,7195919,India,69,GM,401,217,91,93,3187,3098,661303,Asia,2012-04-05,2012,7.054713536302145e-10
16,Wormpaca,Daniel,Gurevich,2781,6288113,United States,2,IM,44,13,8,23,2730,2826,9811,North America,2011-12-10,2011,2.9402166800915e-09
17,GMWSO,Wesley,So,2765,30366824,United States,2,GM,511,230,208,73,3201,3093,345916,North America,2016-10-12,2016,2.9402166800915e-09
18,DenLaz,Denis,Lazavik,2763,34145346,Belarus,22,GM,386,151,166,69,3220,3238,82257,Europe,2017-03-21,2017,1.0977816029367853e-07
19,LOVEVAE,Wei,Yi,2759,27300798,China,33,GM,223,100,78,45,3142,3108,57878,Asia,2016-03-18,2016,7.100860624307666e-10
20,Sibelephant,Vladislav,Artemiev,2752,33903360,Russia,116,GM,198,80,84,34,3071,3202,207229,Asia,2017-03-12,2017,6.847986512205766e-09
21,lethalspider7,,,2750,338103933,Norway,104,brez_naziva,43,30,8,5,2726,2872,3270,Europe,2024-01-10,2024,1.785379845811026e-07
