Rang,Uporabniško ime,Elo,Id,Država,Država številka,Skupaj igre,Skupaj zmage,Skupaj remiji,Skupaj porazi,Naslov,Strela elo,Metek elo,Ime,Priimek,Opazovalci,Datum,Spol,Celina,Obratna vrednost prebivalstva,Leto
1,ManuDavid2910,2966,6083387,India,69,253,202,16,35,FM,3021,3212,Manu,David,121352,2011-11-07,Moški,Asia,7.054713536302145e-10,2011
2,MagnusCarlsen,2941,3889224,Norway,104,313,168,109,36,GM,3356,3184,Magnus,Carlsen,5298732,2010-08-26,Moški,Europe,1.7835027423138165e-07,2010
3,GutovAndrey,2936,26824392,United States,2,143,141,1,1,GM,2514,2312,Andrey,Gutov,543777,2016-02-20,Moški,North America,2.9402166800915e-09,2016
4,SeanWinshand,2884,57549096,Indonesia,70,1177,542,525,110,GM,3050,3102,Sean,Winshand,203925,2019-02-19,Moški,Asia,3.515694987049973e-09,2019
5,Firouzja2003,2844,42022994,France,52,287,121,99,67,GM,3260,3357,Alireza,Firouzja,922380,2018-01-05,Ni znano,Europe,1.4562824022834507e-08,2018
6,LyonBeast,2844,17306408,France,52,364,178,124,62,GM,3243,3174,Maxime,Vachier-Lagrave,536644,2014-05-15,Moški,Europe,1.4562824022834507e-08,2014
7,Hikaru,2839,15448422,United States,2,879,501,273,105,GM,3407,3313,Hikaru,Nakamura,10196816,2014-01-06,Ženska,North America,2.9402166800915e-09,2014
8,lachesisQ,2810,28417564,Russia,116,343,150,119,74,GM,3212,3091,Ian,Nepomniachtchi,458855,2016-05-30,Moški,Asia,6.847986512205766e-09,2016
9,LevonAronian,2808,26897402,United States,2,409,176,143,90,GM,3104,3057,Levon,Aronian,115941,2016-02-23,Moški,North America,2.9402166800915e-09,2016
10,GHANDEEVAM2003,2802,20718020,India,69,345,173,90,82,GM,3170,3207,Arjun,Erigaisi,167654,2015-01-20,Moški,Asia,7.054713536302145e-10,2015
11,FabianoCaruana,2797,11177810,United States,2,589,295,187,107,GM,3136,3203,Fabiano,Caruana,507201,2013-03-17,Moški,North America,2.9402166800915e-09,2013
12,Polish_fighter3000,2790,47485766,Poland,112,208,97,67,44,GM,3139,3156,Jan-Krzysztof,Duda,235694,2018-06-29,Ni znano,Europe,2.6729391639046296e-08,2018
13,nihalsarin,2782,7195919,India,69,401,217,91,93,GM,3178,3098,Nihal,Sarin,662244,2012-04-05,Ženska,Asia,7.054713536302145e-10,2012
14,Wormpaca,2781,6288113,United States,2,44,13,8,23,IM,2730,2826,Daniel,Gurevich,9871,2011-12-10,Moški,North America,2.9402166800915e-09,2011
15,DenLaz,2763,34145346,Belarus,22,386,151,166,69,GM,3250,3238,Denis,Lazavik,83447,2017-03-21,Moški,Europe,1.0977816029367853e-07,2017
16,LOVEVAE,2759,27300798,China,33,223,100,78,45,GM,3142,3108,Wei,Yi,58127,2016-03-18,Ni znano,Asia,7.100860624307666e-10,2016
17,Sibelephant,2752,33903360,Russia,116,198,80,84,34,GM,3071,3202,Vladislav,Artemiev,207306,2017-03-12,Moški,Asia,6.847986512205766e-09,2017
18,lethalspider7,2750,338103933,Norway,104,46,32,8,6,Nima naslova,2737,2944,,,3542,2024-01-10,Ni znano,Europe,1.7835027423138165e-07,2024
19,chesspanda123,2740,21968542,China,33,316,139,124,53,GM,3099,3044,Yu,Yangyi,103962,2015-04-14,Ni znano,Asia,7.100860624307666e-10,2015
20,Berardino,2736,26352834,Brazil,27,363,281,26,56,IM,2659,2503,Diego,Berardino,12183,2016-01-26,Moški,South America,4.7040284123316105e-09,2016
21,ChessWarrior7197,2735,12709942,Uzbekistan,145,513,224,122,167,GM,3140,3057,Nodirbek,Abdusattorov,122235,2013-07-14,Moški,Asia,2.6412420704960713e-08,2013
22,Andreikka,2735,10767030,Russia,116,361,165,110,86,GM,3105,2910,Andrey,Esipenko,93831,2013-02-10,Moški,Asia,6.847986512205766e-09,2013
23,Chasing_Checkmate,2734,284620627,United States,2,64,56,5,3,FM,2826,2784,Corey,Acor,6674,2023-05-11,Moški,North America,2.9402166800915e-09,2023
24,Khvicha_Supatashvili,2729,80552390,Georgia,53,869,633,125,111,IM,2846,2802,Khvicha,Supatashvili,14626,2020-05-26,Ni znano,Asia,2.699419624780672e-07,2020
25,VincentKeymer,2725,43194690,Germany,54,290,132,71,87,GM,3164,2990,Vincent,Keymer,84570,2018-02-10,Moški,Europe,1.1964994255606259e-08,2018
26,Vaathi_Coming,2716,55505950,India,69,99,58,19,22,GM,2973,2994,Aravindh,Chithambaram,24119,2019-01-04,Ni znano,Asia,7.054713536302145e-10,2019
27,Tomoe_nage,2714,201072547,United States,2,28,18,4,6,NM,2428,2360,Nicholas,Bruha,833,2022-10-10,Moški,North America,2.9402166800915e-09,2022
28,rpragchess,2711,28692936,India,69,188,95,48,45,GM,3190,3101,Praggnanandhaa,Rameshbabu,135261,2016-06-18,Ni znano,Asia,7.054713536302145e-10,2016
29,HansOnTwitch,2710,88920388,United States,2,284,132,71,81,GM,3163,3106,Hans,Niemann,265075,2020-08-12,Moški,North America,2.9402166800915e-09,2020
30,AnishGiri,2704,22252178,Netherlands,101,393,162,155,76,GM,3147,3084,Anish,Giri,159113,2015-05-04,Ni znano,Europe,5.530684986950072e-08,2015
31,FairChess_on_YouTube,2704,14498226,Georgia,53,516,223,182,111,GM,3149,3144,Dmitry,Andreikin,275870,2013-11-19,Moški,Asia,2.699419624780672e-07,2013
32,Swiss_Fighter,2700,51123018,Switzerland,133,1056,855,64,137,IM,3005,2914,Gabriel,Gähwiler,11763,2018-10-25,Moški,Europe,1.1028831129184669e-07,2018
33,Annawel,2694,28651376,France,52,271,141,61,69,GM,3045,2953,Jules,Moussard,103090,2016-06-15,Moški,Europe,1.4562824022834507e-08,2016
